X;time;peak;backend
[1, 128, 16, 1];0.0014780576166231185;0.33782303148824;tvm
[1, 128, 16, 4];0.001481445477111265;0.33705047703514157;mlir
[1, 128, 16, 4];0.0014776400639675558;0.33791849377797345;tvm
[1, 128, 32, 1];0.0014767130924155936;0.3381306140823324;mlir
[1, 128, 32, 1];0.0014781950012547895;0.3377916339441328;tvm
[1, 128, 32, 4];0.001485486514866352;0.3361335830146047;mlir
[1, 128, 32, 4];0.0014792949077673256;0.3375404742760338;tvm
[1, 128, 64, 1];0.00147965106589254;0.3374592268892186;mlir
[1, 128, 64, 1];0.0014808260166319087;0.33719147229570995;tvm
[1, 128, 64, 4];0.0015054297400638461;0.33168064338939407;mlir
[1, 128, 64, 4];0.0014861407689750195;0.3359856045846071;tvm
[1, 128, 128, 1];0.0014938362583052367;0.33425477657664265;mlir
[1, 128, 128, 1];0.0015147129161050543;0.32964788208571255;tvm
[1, 128, 128, 4];0.0014968715258874;0.3335769945025099;mlir
[1, 128, 128, 4];0.0015006650646682829;0.33273374353675533;tvm
[1, 256, 1, 1];0.0014546901657013223;0.3432496599859642;mlir
[1, 256, 1, 1];0.0014544295554514974;0.3433111647727075;tvm
[1, 256, 1, 4];0.0014545148151228204;0.3432910408133186;mlir
[1, 256, 1, 4];0.0014523413410643116;0.34380478654968905;tvm
[1, 256, 2, 1];0.0014052893093321472;0.35531609145963233;mlir
[1, 256, 2, 1];0.0014033636543899775;0.3558036459045628;tvm
[1, 256, 2, 4];0.0014045596326468512;0.3555006801818356;mlir
[1, 256, 2, 4];0.0014023175608599558;0.3560690664500422;tvm
[1, 256, 4, 1];0.0014060614194022492;0.3551209768447943;mlir
[1, 256, 4, 1];0.0014016548229847103;0.35623742491652777;tvm
[1, 256, 4, 4];0.0014062847767490894;0.35506457370333483;mlir
[1, 256, 4, 4];0.0014020362723385915;0.3561405040748608;tvm
[1, 256, 8, 1];0.0014039489178685471;0.3556553222178249;mlir
[1, 256, 8, 1];0.0014015694614499807;0.3562591212891696;tvm
[1, 256, 8, 4];0.0014039101224625483;0.355665150334597;mlir
[1, 256, 8, 4];0.0014021113893250003;0.35612142413470205;tvm
[1, 256, 16, 1];0.001401928486302495;0.35616788562363644;mlir
[1, 256, 16, 1];0.0013973007880849764;0.357347472369377;tvm
[1, 256, 16, 4];0.0014239950687624514;0.3506486193072631;mlir
[1, 256, 16, 4];0.0013981753290863708;0.3571239560407518;tvm
[1, 256, 32, 1];0.0014109339681454003;0.3538945946692584;mlir
[1, 256, 32, 1];0.001420613785739988;0.3514832178696699;tvm
[1, 256, 32, 4];0.0014085358270676807;0.35449712756075474;mlir
[1, 256, 32, 4];0.001410324955941178;0.35404741485885655;tvm
[1, 256, 64, 1];0.0014183136663632467;0.35205322814256984;mlir
[1, 256, 64, 1];0.0014062894770177081;0.3550633869641174;tvm
[1, 256, 64, 4];0.0014092842757236212;0.3543088597263454;mlir
[1, 256, 64, 4];0.0014126571040833369;0.3534629198540797;tvm
[2, 16, 1, 1];0.001999904081458226;0.24967292651246817;mlir
[2, 16, 1, 1];0.0019897522579412907;0.250946771272184;tvm
[2, 16, 1, 4];0.002001807530177757;0.24943552126490692;mlir
[2, 16, 1, 4];0.00198965790332295;0.250958671803822;tvm
[2, 16, 2, 1];0.0020017413480672985;0.24944376816915187;mlir
[2, 16, 2, 1];0.0019926854874938726;0.25057737806375235;tvm
[2, 16, 2, 4];0.001998317602556199;0.24987114366764546;mlir
[2, 16, 2, 4];0.001989297568798065;0.2510041295951492;tvm
[2, 16, 4, 1];0.0020076207583770156;0.24871326054905038;mlir
[2, 16, 4, 1];0.00199355959193781;0.2504675088626502;tvm
[2, 16, 4, 4];0.0020035270135849714;0.24922144866340135;mlir
[2, 16, 4, 4];0.001989666052395478;0.2509576439527333;tvm
[2, 16, 8, 1];0.0019921880739275366;0.25063994273266943;mlir
[2, 16, 8, 1];0.0019890907569788396;0.25103022725836166;tvm
[2, 16, 8, 4];0.0019900551706086844;0.2509085738608848;mlir
[2, 16, 8, 4];0.0019750918145291507;0.2528094649012253;tvm
[2, 16, 16, 1];0.0020004475954920053;0.24960509132412326;mlir
[2, 16, 16, 1];0.00199418913689442;0.2503884388516458;tvm
[2, 16, 16, 4];0.001988413539947942;0.25111572353051737;mlir
[2, 16, 16, 4];0.0019755003158934414;0.25275718801192953;tvm
[2, 16, 32, 1];0.0019839353335555643;0.25168255049272764;mlir
[2, 16, 32, 1];0.001974120910745114;0.2529338005813637;tvm
[2, 16, 32, 4];0.001984837028430775;0.2515682132132893;mlir
[2, 16, 32, 4];0.0019827911746688187;0.2518277825426096;tvm
[2, 16, 64, 1];0.0019835619896184653;0.2517299219158502;mlir
[2, 16, 64, 1];0.001974253507796675;0.25291681275479294;tvm
[2, 16, 64, 4];0.0019871399563271552;0.2512766668356893;mlir
[2, 16, 64, 4];0.0019723676959984004;0.2531586305002583;tvm
[2, 16, 128, 1];0.0020089451572857797;0.24854929610747678;mlir
[2, 16, 128, 1];0.00332583743147552;0.15013418877193246;tvm
[2, 16, 128, 4];0.001985729264561087;0.25145517753764474;mlir
[2, 16, 128, 4];0.002001137094339356;0.24951908900911565;tvm
[2, 16, 256, 1];0.0020528679888229817;0.2432313755587336;mlir
[2, 16, 256, 1];0.0037126258830539882;0.13449292239248328;tvm
[2, 16, 256, 4];0.001997912157094106;0.2499218511629416;mlir
[2, 16, 256, 4];0.0020178368722554296;0.24745404924818803;tvm
[2, 16, 512, 1];0.004196934110950679;0.1189730149584835;mlir
[2, 16, 512, 1];0.0048103032750077546;0.10380258295899229;tvm
[2, 16, 512, 4];0.0025883409834932536;0.19291194937075656;mlir
[2, 16, 512, 4];0.002524659299524501;0.19777793576184635;tvm
