X;time;peak
[1, 64, 64, 1];0.0048492500791326165;0.10296889139840325
[1, 64, 64, 4];0.004849523596931249;0.10296308385381872
[1, 64, 128, 1];0.004916454025078565;0.10156139002111905
[1, 64, 128, 4];0.004889897594694048;0.10211295739684022
[1, 64, 256, 1];0.004908770672045648;0.10172035691246108
[1, 64, 256, 4];0.003885402111336589;0.12851228533206738
[1, 128, 1, 1];0.004394704301375896;0.11361899925908027
[1, 128, 1, 4];0.0044102612300775945;0.11321821513804516
[1, 128, 2, 1];0.0043860203586518764;0.11384395509631891
[1, 128, 2, 4];0.003456035570707172;0.14447823077808594
[1, 128, 4, 1];0.0034660290693864226;0.14406166098609718
[1, 128, 4, 4];0.004404950945172459;0.11335470269178122
[1, 128, 8, 1];0.00435815192759037;0.11457193623765675
[1, 128, 8, 4];0.004353221447672695;0.11470170097339077
[1, 128, 16, 1];0.003500771999824792;0.14263194083673403
[1, 128, 16, 4];0.004385937296319753;0.11384611111081926
[1, 128, 32, 1];0.004351913114078343;0.11473618421898393
[1, 128, 32, 4];0.00439603254199028;0.11358466981134754
[1, 128, 64, 1];0.0035462339874356985;0.14080342880108912
[1, 128, 64, 4];0.003546223626472056;0.14080384018496117
[1, 128, 128, 1];0.0035770745598711073;0.13958945960016467
[1, 128, 128, 4];0.0035778896999545395;0.13955765734428568
[1, 256, 1, 1];0.003972557140514255;0.12569281878152336
[1, 256, 1, 4];0.0033779243822209537;0.14781914816980163
[1, 256, 2, 1];0.0031541268690489233;0.1583074890429082
[1, 256, 2, 4];0.00342078588437289;0.14596701507771864
[1, 256, 4, 1];0.0040122452774085104;0.12444949653836077
[1, 256, 4, 4];0.0039851763867773116;0.12529480662854448
[1, 256, 8, 1];0.0039012955967336893;0.12798873922292783
[1, 256, 8, 4];0.0032150514307431877;0.15530759476730427
[1, 256, 16, 1];0.00321983388857916;0.15507691453680683
[1, 256, 16, 4];0.003199560276698321;0.15605953993064423
[1, 256, 32, 1];0.0032055608462542295;0.15576740817301088
[1, 256, 32, 4];0.0032060291268862784;0.1557446563958233
[1, 256, 64, 1];0.0032067502615973353;0.15570963250290162
[1, 256, 64, 4];0.003226232947781682;0.1547693278333272
[2, 16, 1, 1];0.006471690954640508;0.07715478199772
[2, 16, 1, 4];0.006937707425095141;0.07197217671009776
[2, 16, 2, 1];0.004535350599326193;0.11009554693215733
[2, 16, 2, 4];0.006801931071095169;0.0734088451563079
[2, 16, 4, 1];0.006263912306167185;0.07971406372823792
[2, 16, 4, 4];0.006832391605712473;0.07308156990656511
[2, 16, 8, 1];0.0046932417317293584;0.10639168687735916
[2, 16, 8, 4];0.00687843153718859;0.07259240744961923
[2, 16, 16, 1];0.004740259959362447;0.10533639695766016
[2, 16, 16, 4];0.006463105208240449;0.07725727628961851
[2, 16, 32, 1];0.004983939696103334;0.1001861850680691
[2, 16, 32, 4];0.0068832902470603585;0.07254116662814702
[2, 16, 64, 1];0.004961476835887879;0.10063977345417734
[2, 16, 64, 4];0.006834142841398716;0.07306284289775111
[2, 16, 128, 1];0.005016540002543479;0.09953511872899234
[2, 16, 128, 4];0.0045180784072726965;0.1105164319322463
[2, 16, 256, 1];0.0051306215464137495;0.09732191319216003
[2, 16, 256, 4];0.0045571209047921;0.10956959782147459
[2, 16, 512, 1];0.007307949010282755;0.0683258605197336
[2, 16, 512, 4];0.004657605546526611;0.10720570897942869
[2, 32, 1, 1];0.004066538065671921;0.12278795788904069
[2, 32, 1, 4];0.004066797613631934;0.12278012141252721
[2, 32, 2, 1];0.00499712536111474;0.09992182878728459
[2, 32, 2, 4];0.005066736601293087;0.0985490156789426
[2, 32, 4, 1];0.0040392791852355;0.1236165864907387
[2, 32, 4, 4];0.0038832820137031376;0.1285824472700983
[2, 32, 8, 1];0.004109628964215517;0.12150048316033801
